Key,English(en),Russian(ru)
"settings_graphic_low","Low","Низкое"
"settings_graphic_medium","Medium","Среднее"
"settings_graphic_high","High","Высокое"

"unit_none","None","Пусто"
"unit_trooper","Trooper","Штурмовик"
"unit_defender","Defender","Защитник"
"unit_support","Support","Поддержка"
"unit_sniper","Sniper","Снайпер"
"unit_all","All","Все"

"unit_trooper_name","Vasya","Вася"
"unit_defender_name","Zora","Жора"
"unit_support_name","Petya","Петя"
"unit_sniper_name","Kolia","Коля"

"group_type_none","None","Пусто"
"group_type_weapon","Weapon","Оружие"
"group_type_armor","Armor","Броня"
"group_type_all","All","Все"

"raw_none","None","Пусто"
"raw_weapon","Weapon","Оружие"
"raw_armor","Armor","Броня"
"raw_all","All","Все"

"settings","Settings","Настройки"
"profile","Profile","Профиль"
"units","Units","Солдаты"
"production","Production","Производство"
"expeditions","Expeditions","Экспедиции"
"storage","Storage","Склад"
"orders","Orders","Заказы"

"close","Close","Закрыть"
"select","Select","Выбрать"
"accept","Accept","Принять"
"create","Create","Создать"
"complete","Complete","Готово"
"upgrade","Upgrade","Улучшение"
"equip","Equip","Экипировать"
"сhoose","Choose","Выбрать"

"need_level","Level {value}","Уровень {value}"

"sign_in","Sign In","Вход"
"sign_up","Sign Up","Регистрация"
"verification","Email Verification","Подтверждение почты"
"verification_email","Please verify your email address<br>Verification email has been sent to:<br><br>{value}","Подтвердите свою почту<br>Письмо с подтверждением было выслано:<br><br>{value}"

"auth_email_already_in_use","Email already in use","Емейл уже используется"
"auth_invalid_email","Invalid email format","Неверный формат емейл"
"auth_too_many_requests","Too many requests<br>Please try again later","Слишком частые запросы<br>Пожалуйста попробуйте позже ещё раз"
"auth_weak_password","The password must be 6 characters longer","Пароль должен быть длиннее 6 символов"
"auth_missing_password","Missing password","Введите пароль"
"auth_user_not_found","User not found","Пользователь не найден"
"auth_unverified_email","Unverified email","Неподтверждённый емейл"